Job Title,Job Link,Company,Company Link,Experience Required,Location
Manager- Data Science,https://www.naukri.com/job-listings-manager-data-science-dynamic-yield-by-mastercard-gurugram-2-to-7-years-090425502608,NA,NA,2-7 Yrs ,Gurugram 
Data Science Intern,https://www.naukri.com/job-listings-data-science-intern-techknowledgehub-org-new-delhi-0-to-1-years-220424500451,NA,NA,NA,New Delhi 
Modelling & Data Science Manager,https://www.naukri.com/job-listings-modelling-data-science-manager-merkle-science-new-delhi-pune-bengaluru-4-to-8-years-240425501512,Merkle Science,https://www.naukri.com/merkle-science-jobs-careers-6349468,4-8 Yrs ,"New Delhi, Pune, Bengaluru "
Data Science Intern,https://www.naukri.com/job-listings-data-science-intern-aryavart-institute-of-technology-patna-kanpur-new-delhi-supaul-0-to-1-years-230424501338,Aryavart Institute Of Technology,https://www.naukri.com/aryavart-institute-of-technology-jobs-careers-124066718,NA,"New Delhi, Patna, Kanpur, Supaul "
Technology Consulting Data Science Assistant Manager,https://www.naukri.com/job-listings-technology-consulting-data-science-assistant-manager-kpmg-india-gurugram-9-to-12-years-181124504082,KPMG India,https://www.naukri.com/kpmg-india-jobs-careers-137160,9-12 Yrs ,Gurugram 
Advanced Data Science Consultant,https://www.naukri.com/job-listings-advanced-data-science-consultant-zs-associates-pune-gurugram-6-to-9-years-080425502983,ZS,https://www.naukri.com/zs-jobs-careers-68320,6-9 Yrs ,"Pune, Gurugram "
Manager Data Science,https://www.naukri.com/job-listings-manager-data-science-optum-global-solutions-india-private-limited-noida-4-to-7-years-080525918227,Optum,https://www.naukri.com/optum-jobs-careers-126573,4-7 Yrs ,Noida 
Data Science/Data Analytics trainer,https://www.naukri.com/job-listings-data-science-data-analytics-trainer-blue-data-consulting-noida-surat-sector-62-4-to-5-years-230525920964,NA,NA,4-5 Yrs ,"Noida, Surat, Sector 62 "
Data Science Manager,https://www.naukri.com/job-listings-data-science-manager-nits-solutions-gurugram-9-to-14-years-210325009369,Nits Solutions,https://www.naukri.com/nits-solutions-jobs-careers-1252330,9-14 Yrs ,Hybrid - Gurugram 
Data Science/Analyst,https://www.naukri.com/job-listings-data-science-analyst-myfuturejob-new-delhi-2-to-5-years-111022502680,NA,NA,2-5 Yrs ,New Delhi 
"Manager, Data Science",https://www.naukri.com/job-listings-manager-data-science-wolters-kluwer-medknow-publications-gurugram-4-to-7-years-210225502226,NA,NA,4-7 Yrs ,Gurugram 
S&C Global Network - AI - Life Sciences -Data Science Consultant,https://www.naukri.com/job-listings-s-c-global-network-ai-life-sciences-data-science-consultant-accenture-solutions-pvt-ltd-gurugram-2-to-6-years-120525922064,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,2-6 Yrs ,Gurugram 
S&C Global Network - AI - Resources -  Manager Data Science,https://www.naukri.com/job-listings-s-c-global-network-ai-resources-manager-data-science-accenture-solutions-pvt-ltd-gurugram-4-to-8-years-120525920597,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,4-8 Yrs ,Gurugram 
S&C Global Network - AI - Resources - Data Science Consultant,https://www.naukri.com/job-listings-s-c-global-network-ai-resources-data-science-consultant-accenture-solutions-pvt-ltd-gurugram-4-to-8-years-120525924226,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,4-8 Yrs ,Gurugram 
Manager - Training - Data Science,https://www.naukri.com/job-listings-manager-training-data-science-evalueserve-com-pvt-ltd-gurugram-8-to-10-years-280425506366,Evalueserve,https://www.naukri.com/evalueserve-jobs-careers-14453,8-10 Yrs ,Gurugram 
S&C Global Network - AI - CDI - Data Science Manager,https://www.naukri.com/job-listings-s-c-global-network-ai-cdi-data-science-manager-accenture-solutions-pvt-ltd-gurugram-10-to-15-years-140525914622,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,10-15 Yrs ,Gurugram 
Data Science-Professional,https://www.naukri.com/job-listings-data-science-professional-rarr-technologies-gurugram-bengaluru-7-to-11-years-300525501861,Rarr Technologies,https://www.naukri.com/rarr-technologies-jobs-careers-5480988,7-11 Yrs ,"Gurugram, Bengaluru "
S&C Global Network - AI - Life Sciences -Data Science Manager,https://www.naukri.com/job-listings-s-c-global-network-ai-life-sciences-data-science-manager-accenture-solutions-pvt-ltd-mumbai-gurugram-delhi-ncr-10-to-15-years-120525922190,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,10-15 Yrs ,"Delhi / NCR, Mumbai, Gurugram "
Data Science Consultant,https://www.naukri.com/job-listings-data-science-consultant-zs-pune-gurugram-bengaluru-6-to-9-years-150525021494,ZS,https://www.naukri.com/zs-jobs-careers-68320,6-9 Yrs ,"Pune, Gurugram, Bengaluru "
Data Analytics Analyst,https://www.naukri.com/job-listings-data-analytics-analyst-american-express-gurugram-0-to-2-years-060625014758,AMERICAN EXPRESS,https://www.naukri.com/american-express-jobs-careers-2256,0-2 Yrs ,Hybrid - Gurugram 
Advanced Data Science Associate,https://www.naukri.com/job-listings-advanced-data-science-associate-zs-associates-india-pvt-ltd-gurugram-1-to-4-years-040625927677,ZS,https://www.naukri.com/zs-jobs-careers-68320,1-4 Yrs ,Gurugram 
Data Scientist,https://www.naukri.com/job-listings-data-scientist-pepsico-global-business-services-india-llp-hyderabad-gurugram-2-to-4-years-230525923455,Pepsico,https://www.naukri.com/pepsico-jobs-careers-28272,2-4 Yrs ,"Hyderabad, Gurugram "
Intern Climate Data Science,https://www.naukri.com/job-listings-intern-climate-data-science-ipe-global-pvt-ltd-new-delhi-1-to-2-years-060125507096,IPE Global,https://www.naukri.com/ipe-global-jobs-careers-148206,1-2 Yrs ,New Delhi 
